image_idx,DSC_metric,NSD_metric,modality
213,0.98465,0.955903,CT
214,0.963415,0.884101,CT
215,0.891527,0.714286,CT
216,0.978819,0.941687,CT
217,0.98966,0.958042,CT
218,0.991642,0.998197,CT
219,0.984471,0.91533,CT
220,0.988163,0.923077,CT
221,0.9876,0.92817,CT
222,0.989224,0.964286,CT
223,0.977726,0.824612,CT
224,0.968005,0.851992,CT
225,0.98591,0.938821,CT
226,0.969422,0.946023,CT
227,0.97926,0.98036,CT
228,0.983901,0.910497,CT
229,0.979583,0.895954,CT
230,0.97029,0.857031,CT
231,0.980309,0.970639,CT
232,0.984142,0.924841,CT
233,0.988767,0.96897,CT
234,0.989526,0.994152,CT
235,0.929107,0.768621,CT
236,0.949625,0.6144,CT
237,0.964732,0.802956,CT
238,0.986282,0.944871,CT
239,0.990685,0.968725,CT
240,0.976394,0.852079,CT
241,0.963788,0.803874,CT
242,0.991575,0.965598,CT
243,0.979243,0.843829,CT
244,0.99286,0.965123,CT
245,0.976411,0.807756,CT
246,0.849867,0.59144,CT
247,0.974937,0.862213,CT
248,0.936102,0.54855,CT
249,0.712493,0.38806,CT
250,0.993547,0.982446,CT
251,0.981202,0.870492,CT
252,0.988229,0.891105,CT
253,0.974222,0.825153,CT
254,0.945173,0.939577,CT
255,0.974053,0.848564,CT
256,0.868199,0.725166,CT
257,0.987858,0.992966,CT
258,0.981457,0.863192,CT
259,0.930782,0.706177,CT
260,0.976867,0.935652,CT
261,0.985433,0.997955,CT
262,0.952717,0.88674,CT
263,0.970232,0.759378,CT
264,0.843315,0.373178,CT
265,0.968274,0.775172,CT
266,0.914458,0.797327,CT
267,0.974814,0.965157,CT
268,0.864294,0.661616,CT
269,0.978149,0.879436,CT
270,0.962611,0.789984,CT
271,0.909561,0.612352,CT
272,0.977326,0.849315,CT
273,0.98078,0.90752,CT
274,0.989371,0.899624,CT
275,0.984144,0.870588,CT
276,0.975772,0.835149,CT
277,0.9821,0.931929,CT
278,0.970358,0.994832,CT
279,0.983274,1.0,CT
280,0.803843,0.589695,CT
281,0.989922,0.980682,CT
282,0.972228,0.986631,CT
283,0.984676,0.942294,CT
284,0.986447,0.979664,CT
285,0.984982,0.947838,CT
286,0.988214,0.982851,CT
287,0.66366,0.211777,CT
288,0.821355,0.227818,CT
289,0.853427,0.055556,CT
290,0.981754,0.870679,CT
291,0.823779,0.719008,CT
292,0.961032,0.935223,CT
293,0.987322,0.964628,CT
294,0.953256,0.952646,CT
295,0.97404,0.907489,CT
296,0.925694,0.820946,CT
297,0.983798,0.960727,CT
298,0.944044,0.859599,CT
299,0.973119,0.879444,CT
300,0.950164,0.893103,CT
301,0.984115,0.862253,CT
302,0.919835,0.651911,CT
303,0.975228,0.870107,CT
304,0.982788,0.897016,CT
305,0.939198,0.907826,CT
306,0.976459,0.990881,CT
307,0.972702,0.848909,CT
308,0.958867,0.903226,CT
309,0.98059,0.953878,CT
310,0.94638,0.776224,CT
311,0.894625,0.724576,CT
312,0.792523,0.585987,CT
313,0.985603,0.972951,CT
314,0.966564,0.884699,CT
315,0.841537,0.560403,CT
316,0.978713,0.932203,CT
317,0.978559,0.830266,CT
318,0.915693,0.789823,CT
319,0.980214,1.0,CT
320,0.982427,0.890265,CT
321,0.990536,0.984956,CT
322,0.981864,0.899479,CT
323,0.922897,0.455304,CT
324,0.978567,0.895291,CT
325,0.943691,0.872232,CT
326,0.981989,1.0,CT
327,0.988175,0.901167,CT
328,0.975216,0.884277,CT
329,0.987218,0.924745,CT
330,0.984931,0.908999,CT
331,0.984431,0.988864,CT
332,0.891733,0.809091,CT
333,0.975109,0.90985,CT
334,0.977911,1.0,CT
335,0.98064,0.956322,CT
336,0.920822,0.741818,CT
337,0.991215,1.0,CT
338,0.990748,0.981227,CT
339,0.991035,0.969815,CT
340,0.821986,0.270334,CT
341,0.96648,0.877625,CT
342,0.981296,0.790881,CT
343,0.963533,0.823529,CT
344,0.982779,0.932231,CT
345,0.980434,0.832177,CT
346,0.973288,0.946004,CT
347,0.985003,0.9791,CT
348,0.991659,0.950126,CT
349,0.983208,0.868397,CT
350,0.992595,0.988575,CT
351,0.94594,0.603128,CT
352,0.986959,0.998131,CT
353,0.983113,0.865825,CT
354,0.859601,0.566952,CT
355,0.953184,0.702446,CT
356,0.701282,0.14433,CT
357,0.989736,0.916335,CT
358,0.979386,0.915679,CT
359,0.965042,0.794005,CT
360,0.796078,0.316794,CT
361,0.920071,0.845381,CT
362,0.950273,0.793296,CT
363,0.985496,0.851432,CT
364,0.986159,0.939956,CT
365,0.984128,0.899429,CT
366,0.985153,0.928243,CT
367,0.98412,0.928021,CT
368,0.917117,0.837945,CT
369,0.924815,0.846715,CT
370,0.973486,0.910387,CT
371,0.961407,0.770297,CT
372,0.746206,0.433824,CT
373,0.985576,1.0,CT
374,0.97025,0.901639,CT
375,0.985943,0.892931,CT
376,0.936565,0.884731,CT
377,0.971912,0.908269,CT
378,0.990161,0.954627,CT
379,0.953887,0.857534,CT
380,0.98049,0.957265,CT
381,0.987937,0.980044,CT
382,0.950084,0.945652,CT
383,0.973576,0.898485,CT
384,0.922377,0.8157,CT
385,0.971855,0.842163,CT
386,0.951809,0.902153,CT
387,0.982941,1.0,CT
388,0.983239,0.950083,CT
389,0.972731,0.852327,CT
390,0.886493,0.743363,CT
391,0.945387,0.730137,CT
392,0.643301,0.123288,CT
393,0.991273,1.0,CT
394,0.948961,0.900735,CT
395,0.973221,0.879931,CT
396,0.981119,0.916504,CT
397,0.989181,1.0,CT
398,0.965717,0.815137,CT
399,0.872188,0.739857,CT
400,0.915497,0.768443,CT
401,0.973551,0.981366,CT
402,0.535664,0.3273,CT
403,0.754075,0.20841,CT
404,0.795847,0.0,CT
405,0.972734,0.801223,CT
406,0.918814,0.508333,CT
407,0.962745,0.916084,CT
408,0.985079,0.932009,CT
409,0.98302,0.886135,CT
410,0.987082,0.907435,CT
411,0.940615,0.762673,CT
412,0.972896,0.924276,CT
413,0.970442,0.988235,CT
414,0.981634,0.990741,CT
415,0.976192,0.846621,CT
416,0.983878,0.952009,CT
417,0.980705,0.866464,CT
418,0.961076,0.704473,CT
419,0.645669,0.081633,CT
420,0.697626,0.168644,CT
421,0.724709,0.309743,CT
422,0.902239,0.188847,CT
423,0.920968,0.241636,CT
424,0.941681,0.284387,CT
425,0.852164,0.230118,CT
426,0.974658,0.988048,CT
427,0.986603,0.96927,CT
428,0.924223,0.81458,CT
429,0.976731,0.9601,CT
430,0.642034,0.177966,CT
431,0.983398,0.888963,CT
432,0.989286,0.963027,CT
433,0.924071,0.706338,CT
434,0.950877,0.825431,CT
435,0.952486,0.970414,CT
436,0.985818,0.956786,CT
437,0.985761,0.952438,CT
438,0.984743,0.974721,CT
439,0.888429,0.740854,CT
440,0.972866,0.864,CT
441,0.956728,0.885714,CT
442,0.984634,0.926955,CT
443,0.92504,0.868687,CT
444,0.977519,0.973913,CT
445,0.990649,0.946908,CT
446,0.974923,0.793497,CT
447,0.987736,0.988874,CT
448,0.979195,0.95,CT
449,0.978555,0.883467,CT
450,0.916884,0.755511,CT
451,0.810011,0.731903,CT
452,0.986223,0.986513,CT
453,0.983699,0.895884,CT
454,0.895808,0.709779,CT
455,0.948514,0.648921,CT
456,0.989813,0.969617,CT
457,0.978984,0.885747,CT
458,0.990452,0.974359,CT
459,0.985185,0.902584,CT
460,0.987446,0.897694,CT
461,0.928073,0.549921,CT
462,0.988056,0.960189,CT
463,0.894644,0.840741,CT
464,0.984446,1.0,CT
465,0.985704,0.924328,CT
466,0.724022,0.175258,CT
467,0.978513,0.869239,CT
468,0.98911,0.93123,CT
469,0.784694,0.645914,CT
470,0.968553,0.888208,CT
471,0.966558,0.884146,CT
472,0.97377,0.794643,CT
473,0.906049,0.191379,CT
474,0.860818,0.271285,CT
475,0.990875,0.982769,CT
476,0.979134,0.910125,CT
477,0.990301,0.99435,CT
478,0.981799,0.944056,CT
479,0.985094,0.918232,CT
480,0.879878,0.697183,CT
481,0.95939,0.956656,CT
482,0.975693,0.963889,CT
483,0.110363,0.25,CT
484,0.71068,0.423664,CT
485,0.300607,0.129944,CT
486,0.694466,0.144201,CT
487,0.967417,0.857221,CT
488,0.9876,1.0,CT
489,0.976295,0.932447,CT
490,0.922144,0.675595,CT
491,0.92673,0.817857,CT
492,0.979357,0.804766,CT
493,0.858023,0.257979,CT
494,0.987097,0.907692,CT
495,0.87804,0.699779,CT
496,0.933998,0.88843,CT
497,0.977668,0.942899,CT
498,0.714801,0.078947,CT
499,0.985372,0.96679,CT
500,0.954044,0.936111,CT
501,0.975853,0.914027,CT
502,0.938951,0.860068,CT
503,0.986531,0.92446,CT
504,0.975004,0.919244,CT
505,0.839266,0.363636,CT
