image_idx,DSC_metric,NSD_metric
266,0.914458,0.797327
267,0.974814,0.965157
268,0.864294,0.661616
269,0.978149,0.879436
270,0.962611,0.789984
271,0.909561,0.612352
272,0.977326,0.849315
273,0.98078,0.90752
274,0.989371,0.899624
275,0.984144,0.870588
276,0.975772,0.835149
277,0.9821,0.931929
278,0.970358,0.994832
279,0.983274,1.0
280,0.803843,0.589695
281,0.989922,0.980682
282,0.972228,0.986631
283,0.984676,0.942294
284,0.986447,0.979664
285,0.984982,0.947838
286,0.988214,0.982851
287,0.66366,0.211777
288,0.821355,0.227818
289,0.853427,0.055556
290,0.981754,0.870679
291,0.823779,0.719008
292,0.961032,0.935223
293,0.987322,0.964628
294,0.953256,0.952646
295,0.97404,0.907489
296,0.925694,0.820946
297,0.983798,0.960727
298,0.944044,0.859599
299,0.973119,0.879444
300,0.950164,0.893103
301,0.984115,0.862253
302,0.919835,0.651911
303,0.975228,0.870107
304,0.982788,0.897016
305,0.939198,0.907826
306,0.976459,0.990881
307,0.972702,0.848909
308,0.958867,0.903226
309,0.98059,0.953878
310,0.94638,0.776224
311,0.894625,0.724576
312,0.792523,0.585987
313,0.985603,0.972951
314,0.966564,0.884699
315,0.841537,0.560403
316,0.978713,0.932203
317,0.978559,0.830266
318,0.915693,0.789823
319,0.980214,1.0
320,0.982427,0.890265
321,0.990536,0.984956
322,0.981864,0.899479
323,0.922897,0.455304
324,0.978567,0.895291
325,0.943691,0.872232
326,0.981989,1.0
327,0.988175,0.901167
328,0.975216,0.884277
329,0.987218,0.924745
330,0.984931,0.908999
331,0.984431,0.988864
332,0.891733,0.809091
333,0.975109,0.90985
334,0.977911,1.0
335,0.98064,0.956322
336,0.920822,0.741818
337,0.991215,1.0
338,0.990748,0.981227
339,0.991035,0.969815
340,0.821986,0.270334
341,0.96648,0.877625
342,0.981296,0.790881
343,0.963533,0.823529
344,0.982779,0.932231
345,0.980434,0.832177
346,0.973288,0.946004
347,0.985003,0.9791
348,0.991659,0.950126
349,0.983208,0.868397
350,0.992595,0.988575
351,0.94594,0.603128
352,0.986959,0.998131
353,0.983113,0.865825
354,0.859601,0.566952
355,0.953184,0.702446
356,0.701282,0.14433
357,0.989736,0.916335
358,0.979386,0.915679
359,0.965042,0.794005
360,0.796078,0.316794
361,0.920071,0.845381
362,0.950273,0.793296
363,0.985496,0.851432
364,0.986159,0.939956
365,0.984128,0.899429
366,0.985153,0.928243
367,0.98412,0.928021
368,0.917117,0.837945
369,0.924815,0.846715
370,0.973486,0.910387
371,0.961407,0.770297
372,0.746206,0.433824
373,0.985576,1.0
374,0.97025,0.901639
375,0.985943,0.892931
376,0.936565,0.884731
377,0.971912,0.908269
378,0.990161,0.954627
379,0.953887,0.857534
380,0.98049,0.957265
381,0.987937,0.980044
382,0.950084,0.945652
383,0.973576,0.898485
384,0.922377,0.8157
385,0.971855,0.842163
386,0.951809,0.902153
387,0.982941,1.0
388,0.983239,0.950083
389,0.972731,0.852327
390,0.886493,0.743363
391,0.945387,0.730137
392,0.643301,0.123288
393,0.991273,1.0
394,0.948961,0.900735
395,0.973221,0.879931
396,0.981119,0.916504
397,0.989181,1.0
398,0.965717,0.815137
399,0.872188,0.739857
400,0.915497,0.768443
401,0.973551,0.981366
402,0.535664,0.3273
403,0.754075,0.20841
404,0.795847,0.0
405,0.972734,0.801223
406,0.918814,0.508333
407,0.962745,0.916084
408,0.985079,0.932009
409,0.98302,0.886135
410,0.987082,0.907435
411,0.940615,0.762673
412,0.972896,0.924276
413,0.970442,0.988235
414,0.981634,0.990741
415,0.976192,0.846621
416,0.983878,0.952009
417,0.980705,0.866464
418,0.961076,0.704473
419,0.645669,0.081633
420,0.697626,0.168644
421,0.724709,0.309743
422,0.902239,0.188847
423,0.920968,0.241636
424,0.941681,0.284387
425,0.852164,0.230118
426,0.974658,0.988048
427,0.986603,0.96927
428,0.924223,0.81458
429,0.976731,0.9601
430,0.642034,0.177966
431,0.983398,0.888963
432,0.989286,0.963027
433,0.924071,0.706338
434,0.950877,0.825431
435,0.952486,0.970414
436,0.985818,0.956786
437,0.985761,0.952438
438,0.984743,0.974721
439,0.888429,0.740854
440,0.972866,0.864
441,0.956728,0.885714
442,0.984634,0.926955
443,0.92504,0.868687
444,0.977519,0.973913
445,0.990649,0.946908
446,0.974923,0.793497
447,0.987736,0.988874
448,0.979195,0.95
449,0.978555,0.883467
450,0.916884,0.755511
451,0.810011,0.731903
452,0.986223,0.986513
453,0.983699,0.895884
454,0.895808,0.709779
455,0.948514,0.648921
456,0.989813,0.969617
457,0.978984,0.885747
458,0.990452,0.974359
459,0.985185,0.902584
460,0.987446,0.897694
461,0.928073,0.549921
462,0.988056,0.960189
463,0.894644,0.840741
464,0.984446,1.0
465,0.985704,0.924328
466,0.724022,0.175258
467,0.978513,0.869239
468,0.98911,0.93123
469,0.784694,0.645914
470,0.968553,0.888208
471,0.966558,0.884146
472,0.97377,0.794643
473,0.906049,0.191379
474,0.860818,0.271285
475,0.990875,0.982769
476,0.979134,0.910125
477,0.990301,0.99435
478,0.981799,0.944056
479,0.985094,0.918232
480,0.879878,0.697183
481,0.95939,0.956656
482,0.975693,0.963889
483,0.110363,0.25
484,0.71068,0.423664
485,0.300607,0.129944
486,0.694466,0.144201
487,0.967417,0.857221
488,0.9876,1.0
489,0.976295,0.932447
490,0.922144,0.675595
491,0.92673,0.817857
492,0.979357,0.804766
493,0.858023,0.257979
494,0.987097,0.907692
495,0.87804,0.699779
496,0.933998,0.88843
497,0.977668,0.942899
498,0.714801,0.078947
499,0.985372,0.96679
500,0.954044,0.936111
501,0.975853,0.914027
502,0.938951,0.860068
503,0.986531,0.92446
504,0.975004,0.919244
505,0.839266,0.363636
506,0.894196,0.741379
507,0.984027,0.900339
508,0.986121,0.877854
509,0.989885,0.932086
510,0.988495,0.941418
511,0.984315,0.877754
512,0.985231,0.935805
513,0.989451,0.980784
514,0.934435,0.806897
515,0.94014,0.78125
516,0.831847,0.756233
517,0.989613,0.933616
518,0.949794,0.583867
519,0.992075,0.977258
520,0.976518,0.912698
521,0.9894,0.930805
522,0.990269,0.971347
523,0.729251,0.162739
524,0.788572,0.175862
525,0.917485,0.164384
526,0.91495,0.306122
527,0.914608,0.292459
528,0.982112,0.916505
529,0.990503,1.0
530,0.983325,0.916447
531,0.98819,1.0
532,0.984406,0.892677
533,0.990342,0.990342
534,0.987408,0.931108
535,0.988966,1.0
536,0.989335,0.913846
537,0.992093,0.958651
538,0.980057,0.912536
539,0.989888,0.965289
540,0.985,0.925526
541,0.990394,0.964981
542,0.985534,0.927923
543,0.987508,1.0
544,0.975925,0.818972
545,0.975982,0.735994
546,0.974824,0.869117
547,0.978365,0.981567
548,0.974881,0.912766
549,0.988008,0.942872
550,0.985134,0.977574
551,0.988384,0.902187
552,0.983481,0.984021
553,0.98887,0.921208
554,0.960741,0.899782
555,0.944345,0.802682
556,0.876013,0.646091
557,0.981726,0.974661
558,0.887097,0.778559
559,0.985855,0.936559
560,0.77783,0.527586
561,0.932884,0.265672
562,0.622222,0.191395
563,0.95104,0.340517
564,0.991999,0.975392
565,0.984731,0.902932
566,0.987234,0.955882
567,0.989913,0.950536
568,0.916892,0.690644
569,0.98061,0.916782
570,0.98758,0.910082
571,0.970854,0.772382
572,0.983314,0.894438
573,0.982467,0.922463
574,0.800736,0.142795
575,0.811106,0.590618
576,0.981934,0.845123
577,0.971592,0.900917
578,0.98527,0.873507
579,0.966848,0.843137
580,0.989257,0.904605
581,0.942577,0.767974
582,0.981261,0.979094
583,0.988745,0.945489
584,0.951663,0.910781
585,0.952457,0.686701
586,0.94981,0.688462
587,0.978512,0.886689
588,0.970396,0.864553
589,0.931406,0.262712
590,0.832572,0.201232
591,0.909731,0.096859
592,0.984703,0.921926
593,0.903263,0.814558
594,0.979677,0.921649
595,0.990664,0.962797
596,0.982948,0.96238
597,0.992459,0.952436
598,0.978879,0.87113
599,0.944843,0.735157
600,0.922043,0.824074
601,0.973152,0.937653
602,0.985439,0.890872
603,0.9845,0.958199
604,0.87451,0.102082
605,0.750099,0.210526
606,0.85578,0.067651
607,0.991136,0.930161
608,0.976308,0.795353
609,0.452253,0.173799
610,0.080179,0.052669
611,0.992564,0.953013
612,0.975991,0.798836
613,0.969384,0.829453
614,0.955187,0.742902
615,0.988668,0.92379
616,0.982191,0.917943
617,0.989267,0.952267
618,0.957831,0.959596
619,0.989386,0.993684
620,0.989998,0.891392
621,0.974469,0.794444
622,0.989026,0.898423
623,0.594549,0.426426
624,0.964195,0.880769
625,0.972973,0.903689
626,0.949876,0.82563
627,0.989294,0.946274
628,0.9249,0.270383
629,0.744853,0.245091
630,0.93781,0.202543
631,0.986317,0.985889
632,0.863951,0.614958
633,0.986168,0.990058
634,0.760706,0.221584
635,0.846224,0.303419
636,0.406468,0.160147
637,0.701159,0.134864
638,0.682704,0.266667
639,0.989213,0.955081
640,0.988905,0.980666
641,0.978126,0.858031
642,0.892787,0.475978
643,0.989686,0.9984
644,0.912035,0.749614
645,0.952212,0.887755
646,0.834913,0.406863
647,0.795782,0.460784
648,0.982444,0.873016
649,0.922863,0.618978
650,0.962927,0.89648
651,0.847261,0.514563
652,0.979302,0.868897
653,0.958472,0.945233
654,0.986559,1.0
655,0.957692,0.984848
656,0.988285,0.962279
657,0.918631,0.729765
658,0.971653,0.945776
659,0.92529,0.414655
660,0.89108,0.375355
661,0.928048,0.081858
662,0.974334,0.76491
663,0.909921,0.745882
664,0.978667,0.989492
665,0.925373,0.742222
666,0.973751,0.89417
667,0.840618,0.628319
668,0.980562,1.0
669,0.97599,0.922201
670,0.884055,0.613811
671,0.970319,0.81207
672,0.949368,0.632399
673,0.980112,0.856327
674,0.910758,0.773381
675,0.947643,0.857143
676,0.976291,0.983083
677,0.916846,0.778055
678,0.871324,0.552147
679,0.805939,0.360157
680,0.88982,0.15589
681,0.934433,0.113695
682,0.984297,0.909787
683,0.887036,0.806338
684,0.986113,1.0
685,0.971198,0.814897
686,0.945656,0.910714
687,0.965338,0.974522
688,0.982487,0.888136
689,0.985893,0.917582
690,0.992272,0.995721
691,0.990393,0.952321
692,0.989992,0.963194
693,0.819611,0.757009
694,0.97592,0.93356
695,0.894888,0.582057
696,0.909252,0.814685
697,0.99131,0.967357
698,0.97973,0.857011
699,0.983052,0.892527
700,0.985225,0.901263
701,0.976633,0.878763
702,0.932192,0.79927
703,0.97785,0.814869
704,0.911549,0.301024
705,0.920808,0.198779
706,0.927299,0.367418
707,0.99048,0.909311
708,0.979637,0.852174
709,0.980096,0.919534
710,0.98473,0.993888
711,0.989559,0.977057
712,0.991095,0.985171
713,0.982315,0.90352
714,0.97241,0.902857
715,0.97737,0.771447
716,0.868643,0.400447
717,0.970955,0.727811
718,0.985327,0.951351
719,0.98365,0.958641
720,0.625348,0.189085
721,0.654612,0.269113
722,0.826524,0.031987
723,0.985831,0.887478
724,0.935457,0.854911
725,0.987891,1.0
726,0.718921,0.087591
727,0.966118,0.810256
728,0.971731,0.810517
729,0.96662,0.908
730,0.963867,0.850904
731,0.741907,0.461538
732,0.849235,0.104323
733,0.790235,0.268859
734,0.886475,0.166857
735,0.983078,0.889913
736,0.739441,0.316532
737,0.963526,0.824534
738,0.977645,0.882273
739,0.940947,0.909231
740,0.954802,0.929766
741,0.957983,0.993976
742,0.988746,0.987676
743,0.945783,0.969432
744,0.978909,0.87819
745,0.988439,0.992107
746,0.990743,0.963
747,0.989367,0.902706
748,0.980988,0.872159
749,0.987417,0.945133
750,0.945382,0.84273
751,0.983571,0.970964
752,0.970012,0.898021
753,0.802009,0.678571
754,0.957381,0.825436
755,0.813008,0.519651
756,0.932251,0.732634
757,0.929371,0.68319
758,0.959471,0.870542
759,0.918149,0.818182
760,0.984957,0.964674
761,0.987117,0.952612
762,0.965727,0.875
763,0.987728,0.94518
764,0.990215,0.997677
765,0.991603,0.976005
766,0.992385,1.0
767,0.990803,0.963415
768,0.946787,0.859527
769,0.986788,1.0
770,0.980224,0.929936
771,0.938844,0.99734
772,0.984621,1.0
773,0.987962,0.91689
774,0.987496,0.959267
775,0.94995,0.79059
776,0.90122,0.8
777,0.976628,0.993068
778,0.927188,0.780877
779,0.986925,0.959589
780,0.910863,0.842105
781,0.959976,0.799368
782,0.776454,0.376906
783,0.960262,0.884984
784,0.984782,0.940199
785,0.916534,0.793594
786,0.977844,0.839496
787,0.802183,0.076677
788,0.98135,0.89965
789,0.871216,0.619946
790,0.938035,0.784679
791,0.876968,0.505976
792,0.959482,0.77756
793,0.903789,0.834034
794,0.969146,0.913732
795,0.893654,0.144254
796,0.613285,0.177024
797,0.961365,0.549315
798,0.976938,0.871622
799,0.986715,0.992334
800,0.989997,0.925208
801,0.98031,0.844305
802,0.988208,0.861323
803,0.976512,0.937129
804,0.985682,0.976542
805,0.947148,0.834951
806,0.979174,0.818412
807,0.886275,0.3375
808,0.980032,0.852908
809,0.950207,0.856083
810,0.973409,0.884135
811,0.67252,0.160592
812,0.84773,0.273047
813,0.748795,0.257039
814,0.937197,0.128878
815,0.878148,0.129443
816,0.697218,0.161868
817,0.876947,0.058632
818,0.987694,0.939768
819,0.977257,0.926621
820,0.843525,0.475269
821,0.906759,0.781879
822,0.991026,0.960129
823,0.986519,0.984632
824,0.983057,0.98065
825,0.920774,0.798834
826,0.985764,1.0
827,0.972057,1.0
828,0.984381,0.915184
829,0.989908,0.958333
830,0.980447,0.929508
831,0.984309,1.0
832,0.99005,0.965868
833,0.988838,0.990058
834,0.971177,0.852075
835,0.989871,0.994498
836,0.932019,0.68686
837,0.896539,0.713656
838,0.964959,0.960784
839,0.986684,0.938404
840,0.986645,0.997942
841,0.988109,0.909953
842,0.963626,0.68254
843,0.986969,0.967133
844,0.93899,0.867672
845,0.985611,0.963225
846,0.985761,0.958567
847,0.960886,0.928074
848,0.988096,1.0
849,0.992005,0.966425
850,0.968105,0.732218
851,0.9756,0.859532
852,0.97546,0.804565
853,0.987979,0.983119
854,0.836405,0.558333
855,0.981135,0.981513
856,0.864477,0.725979
857,0.920848,0.85782
858,0.988552,0.909693
859,0.945242,0.891156
860,0.982551,0.985533
861,0.988645,0.941623
862,0.893645,0.739927
863,0.970775,0.938242
864,0.96305,0.829493
865,0.986172,0.910891
866,0.98278,1.0
867,0.984289,0.989381
868,0.979213,0.864372
869,0.956212,0.892929
870,0.98562,0.838649
871,0.815329,0.336066
872,0.955444,0.58528
873,0.987584,0.952196
874,0.959974,0.948805
875,0.956986,0.878882
876,0.958447,0.898855
877,0.912429,0.769912
878,0.835313,0.210585
879,0.98083,0.880628
880,0.94445,0.80389
881,0.973774,0.887719
882,0.952465,0.811493
883,0.941199,0.807867
884,0.96821,0.897404
885,0.985796,0.922744
886,0.989494,0.960271
887,0.990772,0.991493
888,0.96719,0.903481
889,0.961368,0.86037
890,0.94583,0.772403
891,0.955375,0.98503
892,0.989437,0.995772
893,0.993056,0.962939
894,0.978967,0.789294
895,0.982066,0.93836
896,0.900385,0.728041
897,0.908283,0.5625
898,0.988092,0.964926
899,0.96919,0.946341
900,0.949038,0.776899
901,0.974623,0.895809
902,0.981832,0.929699
903,0.975853,0.915254
904,0.982296,0.854588
905,0.983529,0.950952
906,0.950958,0.917847
907,0.970879,0.852584
908,0.954927,0.89726
909,0.992429,0.98249
910,0.973949,0.902968
911,0.989501,0.949519
912,0.978655,0.892546
913,0.989155,0.946549
914,0.905834,0.826923
915,0.975368,0.919932
916,0.880628,0.614865
917,0.931138,0.837456
918,0.987493,0.933288
919,0.989776,1.0
920,0.877157,0.373211
921,0.94507,0.537021
922,0.924358,0.247368
923,0.973638,0.803581
924,0.987074,0.997797
925,0.983512,0.827949
926,0.964561,0.983425
927,0.98349,0.943956
928,0.981063,0.879471
929,0.927592,0.680812
930,0.848767,0.427481
931,0.989919,0.952797
932,0.96732,0.927772
933,0.988743,0.936183
934,0.993835,0.985549
935,0.987931,0.859611
936,0.979148,0.812977
937,0.981946,0.912252
938,0.826932,0.453745
939,0.961111,0.83908
940,0.947853,0.87395
941,0.982465,0.897146
942,0.933177,0.722595
943,0.981196,1.0
944,0.957843,0.923913
945,0.978731,0.828647
946,0.827823,0.578182
947,0.968656,0.776738
948,0.98848,0.941098
949,0.98751,0.997807
950,0.983821,0.839259
951,0.981926,0.928144
952,0.985827,0.946229
953,0.989876,0.956911
954,0.987511,0.884253
955,0.973403,0.673913
956,0.959116,0.683074
957,0.916479,0.770601
958,0.975626,0.971053
959,0.967691,0.792028
960,0.986125,0.93871
961,0.978532,0.927152
962,0.908084,0.722714
963,0.937022,0.647266
964,0.985499,0.932298
965,0.983902,0.949367
966,0.982609,0.881026
967,0.93494,0.775238
968,0.976854,0.910834
969,0.992328,0.930995
970,0.97909,0.810359
971,0.983647,0.942728
972,0.990244,1.0
973,0.984991,0.911798
974,0.963594,0.973373
975,0.978042,0.905882
976,0.989427,0.909578
977,0.972765,0.870933
978,0.992041,0.957048
979,0.982627,0.956379
980,0.979888,1.0
981,0.980736,0.889811
982,0.984069,0.968711
983,0.979569,0.864454
984,0.988921,0.953345
985,0.885897,0.29743
986,0.383051,0.080243
987,0.990195,0.925604
988,0.983272,0.914943
989,0.987911,0.968958
990,0.984441,0.996154
991,0.917805,0.257788
992,0.788495,0.281275
993,0.957909,0.352941
994,0.987122,0.912017
995,0.815369,0.494226
996,0.969956,0.763754
997,0.985895,0.977734
998,0.836145,0.762178
999,0.974341,0.922148
1000,0.988338,0.972183
1001,0.953497,0.873762
1002,0.979274,0.997727
1003,0.960875,0.966667
1004,0.990457,0.958704
1005,0.980274,1.0
1006,0.961401,0.838196
1007,0.982136,0.890817
1008,0.97806,0.878873
1009,0.974449,0.858533
1010,0.844815,0.69697
1011,0.974436,0.796443
1012,0.991747,0.986019
1013,0.920114,0.792727
1014,0.92511,0.827839
1015,0.975698,0.95922
1016,0.879497,0.60396
1017,0.857734,0.640167
1018,0.990057,0.923129
1019,0.987201,1.0
1020,0.988667,0.871858
1021,0.990514,0.969831
1022,0.984386,0.903349
1023,0.943701,0.889776
1024,0.965005,0.987692
1025,0.7645,0.209886
1026,0.929758,0.489484
1027,0.960889,0.613784
1028,0.983675,1.0
1029,0.829921,0.653456
1030,0.985781,0.980392
1031,0.856503,0.55516
1032,0.986987,0.932214
1033,0.966261,0.918421
1034,0.988211,1.0
1035,0.965796,0.897704
1036,0.971107,0.846266
1037,0.93658,0.925054
1038,0.980742,1.0
1039,0.903215,0.332616
1040,0.935015,0.414685
1041,0.98643,0.958119
1042,0.763575,0.560137
1043,0.983149,0.928358
1044,0.990776,0.943594
1045,0.976151,0.825132
1046,0.984776,0.899044
1047,0.990574,0.997727
1048,0.988284,0.953196
1049,0.949456,0.811209
1050,0.979092,0.978858
1051,0.967049,0.886299
1052,0.993506,0.992141
1053,0.89727,0.226207
1054,0.879369,0.241199
1055,0.98747,0.923127
1056,0.992448,0.998062
1057,0.885301,0.76593
1058,0.931413,0.847727
1059,0.953157,0.866317
1060,0.992934,0.964844
1061,0.984832,0.992457
1062,0.985288,0.926632
1063,0.877526,0.789174
1064,0.964294,0.802198
1065,0.910718,0.730603
1066,0.913639,0.820598
1067,0.974795,0.838202
1068,0.855799,0.683196
1069,0.935987,0.661585
1070,0.871955,0.415771
1071,0.988043,0.966851
1072,0.958923,0.964775
1073,0.769549,0.661972
1074,0.961548,0.907407
1075,0.933477,0.670534
1076,0.968785,0.847187
1077,0.96521,0.753076
1078,0.96806,0.974684
1079,0.979746,0.99793
1080,0.833243,0.702128
1081,0.976321,0.861559
1082,0.926634,0.774112
1083,0.990353,0.954217
1084,0.954664,0.888587
1085,0.984448,1.0
1086,0.985597,0.923302
1087,0.989157,0.9924
1088,0.988863,0.920337
1089,0.986598,0.920372
1090,0.985393,0.946931
1091,0.989905,0.968085
1092,0.988524,0.907384
1093,0.993888,0.990338
1094,0.941252,0.741102
1095,0.939383,0.816327
1096,0.972659,1.0
1097,0.872238,0.220483
1098,0.913771,0.453984
1099,0.901022,0.257143
1100,0.98465,0.860528
1101,0.952532,0.935146
1102,0.988177,1.0
1103,0.983927,0.90031
1104,0.97915,0.965986
1105,0.973099,1.0
1106,0.986807,0.900891
1107,0.985543,0.937759
1108,0.986031,0.96
1109,0.89095,0.759825
1110,0.970039,0.958904
1111,0.845087,0.495935
1112,0.311508,0.256375
1113,0.636572,0.16882
1114,0.758621,0.161554
1115,0.983581,0.871879
1116,0.960604,0.794383
1117,0.985436,0.894853
1118,0.984373,0.909188
1119,0.985166,0.928235
1120,0.978937,0.934243
1121,0.990415,0.99258
1122,0.943083,0.926126
1123,0.96509,0.859736
1124,0.978412,0.940402
1125,0.940711,0.917667
1126,0.958503,0.837877
1127,0.98752,0.967382
1128,0.958697,0.9729
1129,0.975427,0.794498
1130,0.983443,0.899367
1131,0.955655,0.901408
1132,0.985166,0.867575
1133,0.953516,0.862162
1134,0.975359,0.925125
1135,0.98941,0.937076
1136,0.979842,0.875904
1137,0.968919,0.842067
1138,0.949445,0.888496
1139,0.862776,0.578723
1140,0.972094,0.984894
1141,0.962003,0.995495
1142,0.973836,0.990971
1143,0.985263,0.997085
1144,0.975372,0.890625
1145,0.91092,0.675926
1146,0.99015,0.911458
1147,0.981163,0.850893
1148,0.990766,0.955963
1149,0.958269,0.937326
1150,0.986105,1.0
1151,0.984131,0.852321
1152,0.960228,0.559609
1153,0.967093,0.790342
1154,0.931079,0.685345
1155,0.974547,0.949318
